epoch,loss,accuracy
1,2.273461891746521,43.57
2,2.274367417907715,43.2
3,2.2624827865600587,43.51
4,2.2627835487365724,43.5
5,2.274964889526367,43.3
6,2.2593835117340086,43.59
7,2.2462622257232665,43.77
8,2.256204932022095,43.84
9,2.2613447368621826,43.55
10,2.2476738716125486,43.64
11,2.2434769006729125,43.95
12,2.2452204456329348,43.98
13,2.2407538146972654,43.96
14,2.2605393489837646,43.35
15,2.2384792739868162,43.86
16,2.238877170944214,43.7
17,2.2386298748016356,43.53
18,2.2261720027923584,44.19
19,2.2428158992767333,43.98
20,2.2359900867462157,44.26
21,2.226284601211548,44.27
22,2.2328799335479736,43.77
23,2.2267665630340576,43.87
24,2.238184242630005,43.82
25,2.2405298446655273,43.48
26,2.2217125541687013,43.91
27,2.2293386867523193,43.88
28,2.2341013786315917,44.12
29,2.225947002029419,44.14
30,2.2174418869018555,44.18
31,2.2213465728759765,44.05
32,2.2218346988677977,44.19
33,2.2327544914245605,43.89
34,2.226650812149048,43.62
35,2.223489511299133,43.92
36,2.2340737827301025,43.86
37,2.2264051639556883,44.15
38,2.2333939880371094,44.01
39,2.234848044586182,43.76
40,2.222018311691284,44.26
41,2.2274593643188476,44.08
42,2.2369508892059327,43.89
43,2.225675295639038,44.19
44,2.2217415691375733,44.24
45,2.2226946083068846,44.07
46,2.2313758922576903,44.04
47,2.2318086620330813,44.05
48,2.2321274408340455,44.01
49,2.233367232131958,43.98
50,2.2360655376434324,44.23
